,ISO3Code,Country,EPI,EPI,env_health,biodiversity,air,GDP_pc_ppp
0,AGO,Angola,39.3,39.3,7.8,47.3,51.2,"$2,100"
1,ALB,Albania,68.9,68.9,77.7,22.2,14.4,"$4,900"
2,ARE,United Arab Em.,73.2,73.2,92.7,55.6,38.5,"$25,200"
3,ARG,Argentina,77.7,77.7,86.7,49.8,63.1,"$12,400"
4,ARM,Armenia,63.8,63.8,70.2,55.0,37.8,"$4,600"
5,AUS,Australia,80.1,80.1,99.0,49.6,47.0,"$30,700"
6,AUT,Austria,85.2,85.2,97.7,28.8,57.2,"$31,300"
7,AZE,Azerbaijan,55.7,55.7,59.2,50.1,32.7,"$3,800"
8,BDI,Burundi,51.6,51.6,30.6,37.2,90.9,$600
9,BEL,Belgium,75.9,75.9,96.6,16.7,59.0,"$30,600"
10,BEN,Benin,58.4,58.4,33.1,88.1,78.9,"$1,200"
11,BFA,Burkina Faso,43.2,43.2,9.9,80.0,52.4,"$1,200"
12,BGD,Bangladesh,43.5,43.5,38.2,25.3,6.9,"$2,000"
13,BGR,Bulgaria,72.0,72.0,93.7,30.9,48.8,"$8,200"
14,BOL,Bolivia,63.4,63.4,53.6,66.6,39.0,"$2,600"
15,BRA,Brazil,77.0,77.0,79.3,50.5,64.0,"$8,100"
16,CAF,Central Afr. Rep.,57.3,57.3,26.6,72.9,80.1,"$1,100"
17,CAN,Canada,84.0,84.0,98.6,55.2,56.2,"$31,500"
18,CHE,Switzerland,81.4,81.4,98.3,28.6,59.6,"$33,800"
19,CHL,Chile,78.9,78.9,87.2,68.4,63.7,"$10,700"
20,CHN,China,56.2,56.2,61.0,68.2,22.3,"$5,600"
21,CIV,C̫te d'Ivoire,57.5,57.5,34.8,70.7,76.2,"$1,500"
22,CMR,Cameroon,54.1,54.1,31.5,54.0,67.5,"$1,900"
23,COD,Dem. Rep. Congo,46.3,46.3,12.8,54.3,82.3,$700
24,COG,Congo,49.4,49.4,19.4,64.1,71.4,$800
25,COL,Colombia,80.4,80.4,82.4,60.3,69.4,"$6,600"
26,CRI,Costa Rica,81.6,81.6,81.1,80.3,60.6,"$9,600"
27,CUB,Cuba,75.3,75.3,85.1,66.0,50.2,"$3,000"
28,CYP,Cyprus,78.4,78.4,90.4,62.0,48.6,"$7,135"
29,CZE,Czech Rep.,86.0,86.0,97.3,71.4,55.5,"$16,800"
30,DEU,Germany,79.4,79.4,98.7,21.2,61.3,"$28,700"
31,DNK,Denmark,84.2,84.2,98.5,41.0,61.9,"$32,200"
32,DOM,Dominican Rep.,69.5,69.5,69.2,70.9,45.2,"$6,300"
33,DZA,Algeria,66.2,66.2,85.1,37.8,39.3,"$6,600"
34,ECU,Ecuador,75.5,75.5,78.2,64.6,78.3,"$3,700"
35,EGY,Egypt,57.9,57.9,74.6,23.9,14.8,"$4,200"
36,ESP,Spain,79.2,79.2,97.0,62.1,49.2,"$23,300"
37,ETH,Ethiopia,36.7,36.7,10.4,43.5,57.1,$800
38,FIN,Finland,87.0,87.0,98.8,54.3,65.3,"$29,000"
39,FRA,France,82.5,82.5,99.2,50.9,61.5,"$28,700"
40,GAB,Gabon,73.3,73.3,61.0,62.5,96.1,"$5,900"
41,GBR,United Kingdom,85.6,85.6,98.9,58.8,61.6,"$29,600"
42,GEO,Georgia,61.4,61.4,61.8,31.8,33.2,"$3,100"
43,GHA,Ghana,63.1,63.1,48.8,50.1,87.3,"$2,300"
44,GIN,Guinea,49.2,49.2,17.2,64.3,69.6,"$2,100"
45,GMB,Gambia,52.3,52.3,39.3,21.2,54.9,"$1,800"
46,GNB,Guinea-Bissau,46.1,46.1,17.1,47.3,61.6,$700
47,GRC,Greece,80.2,80.2,96.3,27.4,50.9,"$21,300"
48,GTM,Guatemala,68.9,68.9,64.4,69.1,32.6,"$4,200"
49,HND,Honduras,70.8,70.8,66.1,78.2,39.5,"$2,800"
50,HTI,Haiti,48.9,48.9,38.4,17.4,40.7,"$1,500"
51,HUN,Hungary,77.1,77.1,94.2,47.7,55.6,"$14,900"
52,IDN,Indonesia,60.7,60.7,53.9,66.0,25.1,"$3,500"
53,IND,India,47.7,47.7,43.8,39.8,28.4,"$3,100"
54,IRL,Ireland,83.3,83.3,98.6,26.2,60.3,"$31,900"
55,IRN,Iran,70.0,70.0,85.7,48.0,31.1,"$7,700"
56,ISL,Iceland,82.1,82.1,98.8,63.7,61.5,"$31,900"
57,ISR,Israel,73.7,73.7,95.9,47.3,49.6,"$20,800"
58,ITA,Italy,79.8,79.8,95.3,48.7,55.2,"$27,700"
59,JAM,Jamaica,74.7,74.7,76.4,86.1,47.7,"$4,100"
60,JOR,Jordan,66.0,66.0,85.5,56.0,40.6,"$4,500"
61,JPN,Japan,81.9,81.9,97.6,70.4,52.6,"$29,400"
62,KAZ,Kazakhstan,63.6,63.6,70.8,38.4,60.1,"$7,800"
63,KEN,Kenya,56.4,56.4,38.0,54.1,87.0,"$1,100"
64,KGZ,Kyrgyzstan,60.5,60.5,53.7,68.1,50.6,"$1,700"
65,KHM,Cambodia,49.8,49.8,18.3,82.7,56.6,"$2,000"
66,KOR,South Korea,75.2,75.2,93.5,39.4,47.1,"$19,200"
67,LAO,Laos,52.9,52.9,21.4,76.1,56.0,"$1,900"
68,LBN,Lebanon,76.7,76.7,93.4,20.2,52.1,"$5,000"
69,LBR,Liberia,51.0,51.0,23.3,36.7,86.5,$900
70,LKA,Sri Lanka,64.6,64.6,61.3,56.6,52.7,"$4,000"
71,MAR,Morocco,64.1,64.1,75.7,54.7,54.4,"$4,200"
72,MDA,Moldova,62.9,62.9,81.7,16.9,56.9,"$1,900"
73,MDG,Madagascar,48.6,48.6,23.3,39.5,74.7,$800
74,MEX,Mexico,64.8,64.8,80.6,48.6,34.6,"$9,600"
75,MLI,Mali,33.9,33.9,8.6,45.0,21.2,$900
76,MMR,Myanmar,57.0,57.0,47.3,42.7,27.4,"$1,700"
77,MNG,Mongolia,48.8,48.8,47.8,71.7,28.5,"$1,900"
78,MOZ,Mozambique,45.7,45.7,16.7,39.7,74.6,"$1,200"
79,MRT,Mauritania,32.0,32.0,28.4,5.9,30.9,"$1,800"
80,MWI,Malawi,56.5,56.5,29.6,64.6,79.2,$600
81,MYS,Malaysia,83.3,83.3,88.8,71.5,79.8,"$9,700"
82,NAM,Namibia,56.5,56.5,43.9,68.0,69.2,"$7,300"
83,NER,Niger,25.7,25.7,1.0,39.0,22.9,$900
84,NGA,Nigeria,44.5,44.5,23.0,42.0,55.9,"$1,000"
85,NIC,Nicaragua,69.2,69.2,62.5,69.4,50.5,"$2,300"
86,NLD,Netherlands,78.7,78.7,97.1,26.1,55.9,"$29,500"
87,NOR,Norway,80.2,80.2,98.8,35.9,62.8,"$40,000"
88,NPL,Nepal,60.2,60.2,44.1,60.5,35.9,"$1,500"
89,NZL,New Zealand,88.0,88.0,97.9,73.5,83.7,"$23,200"
90,OMN,Oman,67.9,67.9,79.5,41.1,28.1,"$13,100"
91,PAK,Pakistan,41.1,41.1,46.1,23.0,8.2,"$2,200"
92,PAN,Panama,76.5,76.5,75.6,83.2,58.6,"$6,900"
93,PER,Peru,65.4,65.4,64.8,57.4,57.8,"$5,600"
94,PHL,Philippines,69.4,69.4,63.6,69.0,61.4,"$5,000"
95,PNG,Papua New Guinea,55.5,55.5,34.2,34.3,73.7,"$2,200"
96,POL,Poland,76.2,76.2,95.0,29.2,54.0,"$12,000"
97,PRT,Portugal,82.9,82.9,97.4,54.6,50.1,"$17,900"
98,PRY,Paraguay,66.4,66.4,63.7,43.8,53.9,"$4,800"
99,ROU,Romania,56.9,56.9,61.2,36.9,42.5,"$7,700"
100,RUS,Russia,77.5,77.5,92.3,61.0,55.6,"$9,800"
101,RWA,Rwanda,57.0,57.0,31.1,63.2,91.1,"$1,300"
102,SAU,Saudi Arabia,68.3,68.3,83.7,60.2,30.2,"$12,000"
103,SDN,Sudan,44.0,44.0,24.5,41.3,24.9,"$1,900"
104,SEN,Senegal,52.2,52.2,39.9,67.6,52.9,"$1,700"
105,SLE,Sierra Leone,49.5,49.5,20.4,56.2,75.5,$600
106,SLV,El Salvador,63.0,63.0,64.1,18.9,42.5,"$4,900"
107,SUR,Suriname,73.0,73.0,75.1,66.9,73.7,"$4,300"
108,SVK,Slovakia,79.1,79.1,96.4,45.8,57.4,"$14,500"
109,SVN,Slovenia,77.5,77.5,97.3,23.5,56.1,"$19,600"
110,SWE,Sweden,87.8,87.8,99.4,55.6,66.4,"$28,400"
111,SWZ,Swaziland,53.9,53.9,30.0,38.8,74.3,"$5,100"
112,SYR,Syria,55.3,55.3,72.3,17.1,31.8,"$3,400"
113,TCD,Chad,30.5,30.5,0.0,60.5,24.4,"$1,600"
114,TGO,Togo,52.8,52.8,28.3,68.5,82.3,"$1,600"
115,THA,Thailand,66.8,66.8,71.0,60.2,47.5,"$8,100"
116,TJK,Tajikistan,48.2,48.2,38.0,48.7,40.7,"$1,100"
117,TKM,Turkmenistan,52.3,52.3,57.4,30.3,32.4,"$5,700"
118,TTO,Trinidad & Tobago,76.9,76.9,94.1,32.0,74.4,"$10,500"
119,TUN,Tunisia,60.0,60.0,77.2,5.1,49.1,"$7,100"
120,TUR,Turkey,72.8,72.8,84.6,31.8,49.1,"$7,400"
121,TWN,Taiwan,79.1,79.1,93.5,67.3,47.4,"$25,300"
122,TZA,Tanzania,59.0,59.0,37.3,74.1,86.2,$700
123,UGA,Uganda,60.8,60.8,31.7,73.6,98.0,"$1,500"
124,UKR,Ukraine,71.2,71.2,93.8,40.1,56.6,"$6,300"
125,USA,United States,78.5,78.5,98.3,66.9,44.7,"$40,100"
126,UZB,Uzbekistan,52.3,52.3,57.7,38.3,36.4,"$1,800"
127,VEN,Venezuela,74.1,74.1,81.8,88.0,76.9,"$5,800"
128,VNM,Viet Nam,54.3,54.3,44.4,42.8,45.3,"$2,700"
129,YEM,Yemen,45.2,45.2,40.7,13.7,39.5,$800
130,ZAF,South Africa,62.0,62.0,71.8,47.2,78.6,"$11,100"
131,ZMB,Zambia,54.4,54.4,24.0,81.6,69.1,$900
132,ZWE,Zimbabwe,63.0,63.0,49.9,67.6,70.0,"$1,900"
